userID	artistID	weight
1288	13689	247
1638	14931	65
262	4963	163
1159	12786	245
137	292	338
1263	292	512
185	3909	131
1685	1799	41
85	923	99
394	6475	83
116	527	333
435	1099	1205
1656	1090	268
1212	58	864
1975	12195	471
1900	159	286
1590	349	639
1996	18099	445
193	84	1034
254	4844	478
1352	228	161
1982	4997	190
213	2244	1034
1374	955	289
1362	730	85
581	1274	1192
474	7315	129
1050	225	1064
616	821	239
1517	305	1376
1676	16000	127
439	276	669
1469	65	261
386	5666	400
794	1414	789
440	3686	468
1488	14883	6
1984	1919	1266
566	72	4101
1015	11806	134
198	510	493
1697	12243	205
1866	17238	213
1228	152	2144
632	913	683
1161	5110	1032
359	6062	473
2100	18729	280
1942	533	3996
1325	13889	279
1862	187	93
1922	214	37
84	707	502
85	1240	89
341	5880	74
1180	157	141
2087	289	1356
332	720	110
514	325	1091
891	10857	191
1952	13417	184
1793	81	1069
1981	6217	158
1298	289	1555
1058	701	93
1592	959	175
1799	367	187
2009	689	151
1987	7140	137
990	620	447
1189	328	99
1405	434	530
1697	5848	214
1085	8866	2113
2043	1201	306
230	344	832
1394	1934	182
328	1097	1104
1240	6759	151
2087	1034	331
1493	3221	263
158	3492	230
1094	715	11248
1736	55	1190
896	65	1332
2016	18229	570
123	604	3642
655	8979	4
91	859	676
2007	18205	7494
1831	441	414
1476	6693	719
1563	701	26
683	85	478
1605	288	542
576	573	60
1646	3502	677
1356	325	1235
236	2051	393
553	644	47
570	545	42
657	972	208
609	3693	452
111	2822	316
972	1700	288
822	366	1453
324	2838	458
1351	486	38
1472	868	213
924	11075	127
1736	2025	249
1062	614	57
1224	8123	50
233	903	13
2018	456	248
572	295	233
1387	4385	148
1597	225	131
360	6079	92
726	375	348
504	4104	281
567	3616	1445
1115	877	1
1027	317	702
1620	429	216
119	1994	3287
1674	3739	73
220	4446	112
423	1464	194
1221	8934	24
1794	1200	168
391	377	336
656	987	19
1132	1042	308
2059	349	824
1451	318	132
1676	441	326
359	985	401
1246	2076	568
253	789	368
1941	1515	233
1840	8047	241
1035	429	2
1211	13162	250
163	2451	246
1699	6619	439
795	333	126
1212	182	576
1085	12200	784
56	1650	704
1952	227	937
690	641	302
338	1015	230
418	6678	1196
227	294	319
1688	65	1911
1693	701	3
295	1535	316
53	491	41
1396	854	1209
1558	198	15
876	585	213
1795	299	160
1347	6685	7
328	5738	221
404	4824	37
1838	65	304
1230	13320	8
1701	501	89
378	67	267
1318	67	2170
1242	11587	140
1772	16589	603
926	6876	156
1935	1044	332
1666	543	824
1304	461	960
576	5927	92
462	1881	602
784	599	439
123	3043	322
216	1983	206
2028	3707	115
725	9560	84
680	7448	1046
1234	13358	375
380	295	3229
787	691	67
156	418	15
1728	72	7877
1339	228	21342
791	10067	12
1664	3369	190
141	3274	40
196	534	2183
941	693	3311
1754	198	434
360	6110	14
1065	12084	47
1898	1691	680
434	219	28
1580	682	426
1759	1979	1613
1948	471	203
2096	3902	443
1114	154	807
991	7	321
1873	288	539
363	830	1131
909	198	2005
370	1383	878
123	3036	409
1484	14839	89
943	212	45
929	11132	892
2023	18275	28
968	7692	498
1065	328	12
388	6077	11597
1839	2787	330
911	464	244
2067	18541	134
1271	13590	364
261	4943	385
585	521	1551
113	2836	5756
1830	614	1694
1395	1242	129
693	195	103
2056	9734	8
1005	11753	1086
1039	468	81
360	6082	50
1974	396	290
636	289	248
1519	966	59
1560	458	47
1351	541	42
673	9186	1042
1864	1418	27
1891	4852	24
1288	605	177
737	412	271
335	184	1288
49	1482	415
55	1607	829
462	2531	293
1010	68	8
1420	14455	85
1454	2936	491
1848	219	342
674	1032	3245
297	231	419
904	518	220
1894	294	166
438	38	4
1733	1119	184
227	289	8669
1284	748	852
1880	302	357
1915	84	25
972	3815	125
200	709	222
1439	2346	351
1934	3483	93
1477	14768	14
1408	14364	2
1184	3557	106
1027	466	1310
1368	157	2642
39	1260	74
20	783	96
969	1406	233
481	757	285
1997	1390	186
737	1400	217
1039	1377	136
1941	16049	183
1950	618	291
1362	562	144
1456	2079	389
1079	3328	1286
1177	12945	757
1873	198	117
1499	14995	942
953	1398	45
538	461	856
87	456	25
628	1239	342
1315	13792	6
410	5314	52
